email;role;courseCompletion;courseEngagement;projectDegree;teamProjectDegree;bonusProjectUrls
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
